x,y
-16.968137870864886,-10280.297580319439
-99.98479639044994,-2047305.5820307387
58.004798840202064,395714.9841947917
79.6958788279545,1027834.4382293547
-62.950305231194605,-512324.0217740977
38.77866883942895,117974.19960135492
-82.9654056022728,-1170769.066839144
-29.985524851644783,-55871.09301188155
-88.39980861859812,-1415756.1100070046
60.31788551879749,445055.57488280244
91.2638111227395,1544320.1408565158
51.02515302114809,269185.43583694135
67.7318014945616,630508.09716846
61.7978197840088,478679.3931664791
-68.06850061243546,-647359.2598128136
21.90936432341555,21202.756606173236
41.12601535177654,140771.17471521022
-40.177409971707554,-133793.93185627554
-37.66302794009573,-110307.52907277117
47.297028803150496,214296.29768082505
56.751516722196605,370576.5297851237
-96.55449998860455,-1844026.6522006902
16.732098638988102,9436.674598849868
25.976301206371865,35369.12473394966
77.08132703829679,929831.6584917249
-43.70522958789758,-172041.96832580215
32.999786827153144,72624.77975248825
50.329570701559945,258309.18299060935
91.13876917751651,1537972.58744573
74.27094290640075,831660.471443562
98.12179876888382,1919767.3156309272
31.587502256337707,63680.3789594343
-0.2930934454951961,8.92414474764427
-76.99417266619216,-936135.9875762783
-76.11113088012587,-904356.2019186794
85.76877208808553,1281530.4184034618
-91.88766441765601,-1589725.7893723145
-47.173420703925714,-216155.26067101306
92.45253100446911,1605528.6111771867
53.40175895075874,308651.4750216562
-98.90397376643931,-1981724.2728008605
-29.886439542795816,-55319.838671697085
92.02815955189585,1583494.8303774667
81.5476512739531,1101262.0743439202
-87.29061801450683,-1363217.4392218695
75.18299708714844,862719.54196511
-59.57521060899873,-434445.05076740275
-39.98287943955747,-131865.8802999032
34.07164108416252,79951.47983952938
-43.67409769263209,-171678.4552183408
-31.157141954395517,-62632.4163389624
-54.90420343059259,-340292.84602696844
-85.27868202556323,-1271267.8826214809
34.38944928290486,82215.35795637716
-36.55100912511735,-100865.3196687754
50.18217604747208,256037.2381699349
-74.16821240012953,-836986.0169865569
-57.851822981323544,-397914.9241661854
-9.97463860107044,-2151.362687632456
-94.834898445507,-1747391.0846532092
71.47460751400472,741092.2532417248
-81.07867448835889,-1092838.9529776392
-86.81200468474917,-1340956.2092955709
60.456199453620485,448126.9886388593
28.059077835886637,44599.727885948036
-72.7682338137407,-790574.6418674598
15.559577194184016,7591.290589821165
-17.720640933485264,-11690.148043533252
-39.697379810956576,-129072.6714138825
11.461698089826132,3040.6408371151297
2.917433825794813,69.80557483949207
-32.87581973758591,-73513.35933746675
99.99745777412998,2032108.6052633692
-0.7651164995642779,3.5015820016695622
99.76512313618369,2017960.2387220976
-89.32513978634475,-1460606.2054528845
51.1536369379151,271228.2399680355
-12.389095606062273,-4059.977765564608
74.87926738734367,852293.4180474835
16.237144115237644,8623.62839124871
-38.98308548957632,-122262.5793713349
96.85008336713187,1846003.0718285076
73.17578107724265,795358.8336086498
